Number,Class,Owner,Operator,PoolCode,Livery,Depot,Formation,Name,PreservedAt,StoredAt,YearBuilt,WorksNumber
DR72211,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR72213,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DX73010,OTMs,,Preserved (OTM),,Yellow,,,,Aln Valley Railway,,,
DR73105,OTMs,,Colas Rail (OTM),,Yellow & white with Colas Rail logos,,,,,Cardiff Canton,,
DR73108,OTMs,,* Miscellaneous On-Track Machines,,Colas Rail orange & black,,,Tiger,,,,
DR73109,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with Swietelsky logos,,,,,,,
DR73110,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with SBRail logos,,,Peter White,,,,
DR73111,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,"Reading Panel 1965 - 2005 ",,,,
DR73112,OTMs,,* Miscellaneous On-Track Machines,,,,,John Tiley,,,,
DR73113,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Dai Evans,,,,
DR73114,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Ron Henderson,,,,
DR73115,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73116,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73117,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73118,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73120,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73121,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73122,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73202,OTMs,,B&R Track Services (OTM),,green,,,,,,,
DR73214,OTMs,,,,,,,,,,,
DR73216,OTMs,,Preserved (OTM),,Yellow & grey with Jarvis logo,,,,Swindon & Cricklade Railway,,,
DR73241,OTMs,,Preserved (OTM),,Yellow & white,,,,Churnet Valley Railway,,,
DR73250,OTMs,,North Yorkshire Moors Railway,,Yellow & white,,,,North Yorkshire Moors Railway,,,
DR73274,OTMs,,Preserved (OTM),,Two-tone green,,,,South Devon Railway,,,
DR73307,OTMs,,North Yorkshire Moors Railway,,Yellow with RSS logos,,,,North Yorkshire Moors Railway,,,
DR73309,OTMs,,B&R Track Services (OTM),,Yellow with B&R Track Services,,,,,,,
DR73315,OTMs,,Preserved (OTM),,Yellow,,,,Bluebell Railway,,,
DR73405,OTMs,,Preserved (OTM),,Yellow & white,,,,Foxfield Railway,,,
DR73431,OTMs,,Preserved (OTM),,Maroon with Fastline logos,,,,Battlefield Line,,,
DR73434,OTMs,,Kent & East Sussex Railway,,Balfour Beatty blue & white,Kent & East Sussex Railway,,,,,,
DR73435,OTMs,,Preserved (OTM),,Yellow with Fastline logos,,,,Wensleydale Railway,,,
DR73502,OTMs,,Trackwork (OTM),,Trackwork yellow & green,,,,,,,
DR73503,OTMs,,Stobart Rail (OTM),,Stobart Rail yellow,,,Grace,,,,
DR73803,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,Alexander Graham Bell,,,,
DR73804,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,James Watt,,,,
DR73805,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,,,
DR73806,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Karine,,,,
DR73904,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,Thomas Telford,,,,
DR73905,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73906,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Panther,,,,
DR73907,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73908,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73909,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Saturn,,,,
DR73910,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Jupiter,,,,
DR73911,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Puma,,,,
DR73912,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Lynx,,,,
DR73913,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73914,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SBRail white, orange & blue",,,Robert McAlpine,,,,
DR73915,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,William Arrol,,,,
DR73916,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,First Engineering,,,,
DR73917,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73918,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73919,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73920,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73921,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73922,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,John Snowdon,,,,
DR73923,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73924,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73925,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Europa,,,,
DR73926,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,Stephen Keith Blanchard,,,,
DR73927,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,Ashford OTPD,,
DR73928,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73929,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73930,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73931,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73932,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"First Engineering white, purple & green",,,,,,,
DR73933,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,,,,,
DR73934,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, blue & orange",,,,,,,
DR73935,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73936,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73937,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73938,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73939,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,Pat Best,,,,
DR73940,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,,,,,
DR73941,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,,,,,
DR73942,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73943,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73944,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73945,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73946,OTMs,,VolkerRail (OTM),,Volker Rail,,,,,,,
DR73947,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73948,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73949,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty,,,,,,,
DR74002,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with SB Rail logos,,,,,,,
DX74108,OTMs,,Kent & East Sussex Railway,,Yellow,,,,Kent & East Sussex Railway,,,
DR75001,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,,,
DR75002,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,,,
DR75003,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,,,
DR75004,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,,,
DR75005,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,,,
DR75006,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,,,
DR75007,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,,,
DR75008,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR75009,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR75010,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,arrived November 2019,,Roger Nicholas,,,,
DR75011,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Andrew Smith,,,,
DR75012,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with SB Rail logos,,,,,,,
DR75013,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with SB Rail logos,,,,,,,
DR75014,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with SB Rail logos,,,,,,,
DR75015,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with SB Rail logos,,,,,,,
DR75201,OTMs,,Kent & East Sussex Railway,,Balfour Beatty blue & white,Kent & East Sussex Railway,,,,,,
DR75202,OTMs,,Kent & East Sussex Railway,,Balfour Beatty blue & white,Kent & East Sussex Railway,,,,,,
DR75204,OTMs,,Trackwork (OTM),,Trackwork,,,,,,,
DR75301,OTMs,,VolkerRail (OTM),,VolkerRail,,,,,,,
DR75302,OTMs,,VolkerRail (OTM),,VolkerRail,,,Gary Wright,,,,
DR75303,OTMs,,VolkerRail (OTM),,VolkerRail,,,,,,,
DR75401,OTMs,,VolkerRail (OTM),,VolkerRail,,,,,,,
DR75402,OTMs,,VolkerRail (OTM),,VolkerRail,,,,,,,
DR75403,OTMs,,VolkerRail (OTM),,VolkerRail,,,,,Eastleigh Works (ZG),,
DR75404,OTMs,,VolkerRail (OTM),,VolkerRail,,,,,,,
DR75405,OTMs,,VolkerRail (OTM),,VolkerRail,,,,,,,
DR75406,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Eric Machell,,,,
DR75407,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Gerry Taylor,,,,
DR75408,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR75409,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR75410,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR75411,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR75501,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR75502,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR75503,OTMs,,VolkerRail (OTM),,"Volker Rail white, blue and black",,,Gill Cowling,,,,
DR75504,OTMs,,VolkerRail (OTM),,Volker Rail,,,,,,,
DR76323,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,HOBCS1,,,,
DR76324,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,HOBCS1,,,,
DR76501,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOBCS2,,,,
DR76502,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOBCS3,,,,
DR76503,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOBCS4,,,,
DR76504,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOBCS5,,,,
DR76701,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOBCS4,,,,
DR76702,OTMs,,* Miscellaneous On-Track Machines,,Yellow with Network Rail logos,,,HOBCS3,,,,
DR76703,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOBCS2,,,,
DR76710,OTMs,,* Miscellaneous On-Track Machines,,Yellow with Network Rail logos,,,HOTRS4,,,,
DR76711,OTMs,,* Miscellaneous On-Track Machines,,Yellow with Network Rail logos,,,HOTRS2,,,,
DR76750,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS4,,,,
DR76751,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS2,,,,
DR76801,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOBCS4,,,,
DR76802,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOBCS5,,,,
DR77001,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,Anthony Lou Phillips,,,,
DR77002,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,SB Rail white & blue,,,,,,,
DR77010,OTMs,,Network Rail (OTM),,yellow,,,,,,,
DR77315,OTMs,,* Miscellaneous On-Track Machines,,,,,,,,,
DR77316,OTMs,,* Miscellaneous On-Track Machines,,,,,,,,,
DR77322,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR77327,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR77329,OTMs,,Kent & East Sussex Railway,,Yellow,Kent & East Sussex Railway,,Clive Lowe,,,,
DR77336,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,Hither Green,,
DR77801,OTMs,,VolkerRail (OTM),,VolkerRail,,,,,,,
DR77802,OTMs,,VolkerRail (OTM),,VolkerRail,,,,,,,
DR77901,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR77903,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Frank Jones,,,,
DR77904,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR77905,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR77906,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR77907,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR77908,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with SBRail logos,,,,,,,
DR77909,OTMs,,Network Rail (OTM),,yellow,,,,,,,
DR78701,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,6100954-2,,,,
DR78702,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,6100944-2,,,,
DR78801,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS2,,,,
DR78802,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS4,,,,
DR78811,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS2,,,,
DR78812,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS4,,,,
DR78821,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS2,,,,
DR78822,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS4,,,,
DR78831,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS2,,,,
DR78832,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,HOTRS4,,,,
DR79101,OTMs,,Crossrail (OTM),,Yellow with Elizabeth Line logos,Plumstead,,,,,,
DR79102,OTMs,,Network Rail (OTM),,Network Rail yellow,,,,,,,
DR79103,OTMs,,Network Rail (OTM),,Network Rail yellow,,,,,,,
DR79104,OTMs,,Network Rail (OTM),,Network Rail yellow,,,,,,,
DR79105,OTMs,,Network Rail (OTM),,Network Rail yellow,,,,,,,
DR79200,OTMs,,Network Rail (OTM),,Yellow,,,,,Long Marston (LM),,
DR79201,OTMs,,Network Rail (OTM),,Yellow,,,,,Long Marston (LM),,
DR79221,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,Eastleigh Works (ZG),,
DR79222,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,Eastleigh Works (ZG),,
DR79223,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,Eastleigh Works (ZG),,
DR79224,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,Eastleigh Works (ZG),,
DR79225,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,Eastleigh Works (ZG),,
DR79226,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,Eastleigh Works (ZG),,
DR79231,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Pete Erwin,,,,
DR79232,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79233,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79234,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,Derby Loram since 03/2018,,
DR79235,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,Derby Loram since 03/2018,,
DR79236,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79237,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79241,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Roger South,,,,
DR79242,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79243,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79244,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79245,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79246,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79247,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Roger South,,,,
DR79251,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Martin Elwood,,,,
DR79252,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79253,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79254,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79255,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79256,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79257,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Martin Elwood,,,,
DR79261,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79262,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Chris Gibb,,,,
DR79263,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79264,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79265,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79267,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Bridget Rosewell CBE,,,,
DR79271,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79272,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79273,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79274,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR79277,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Bridget Rosewell CBE,,,,
DR79301,OTMs,,Network Rail (OTM),,Yellow,,,,,,,
DR79302,OTMs,,Network Rail (OTM),,Yellow,,,,,,,
DR79303,OTMs,,Network Rail (OTM),,Yellow,,,,,,,
DR79304,OTMs,,Network Rail (OTM),,Yellow,,,,,,,
DR79401,OTMs,,Network Rail (OTM),,Yellow,,,,,,,
DR79402,OTMs,,Network Rail (OTM),,Yellow,,,,,,,
DR79403,OTMs,,Network Rail (OTM),,Yellow,,,,,,,
DR79404,OTMs,,Network Rail (OTM),,Yellow,,,,,,,
DR79501,OTMs,,Network Rail (OTM),,Yellow,delivered mid-May 2017,,,,,,
DR79502,OTMs,,Network Rail (OTM),,Yellow,delivered mid-May 2017,,,,,,
DR79503,OTMs,,Network Rail (OTM),,Yellow,delivered mid-May 2017,,,,,,
DR79504,OTMs,,Network Rail (OTM),,Yellow,delivered mid-May 2017,,,,,,
DR79505,OTMs,,Network Rail (OTM),,Yellow,delivered mid-May 2017,,,,,,
DR79506,OTMs,,Network Rail (OTM),,Yellow,delivered mid-May 2017,,,,,,
DR79507,OTMs,,Network Rail (OTM),,Yellow,delivered mid-May 2017,,,,,,
DR79602-79604,OTMs,,* Miscellaneous On-Track Machines,,"Yellow, white & grey",,DR79602 DR79603 DR79604,,,,,
DR79602,OTMs,,Schweerbau (OTM),,Yellow & grey,,,,,,,
DR79603,OTMs,,Schweerbau (OTM),,Yellow & grey,,,,,,,
DR79604,OTMs,,Schweerbau (OTM),,Yellow & grey,,,,,,,
DR80200,OTMs,,Harsco Rail (OTM),,Yellow with Network Rail logos,,,,,"Thuxton, Mid-Norfolk Railway",,
DR80201,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80202,OTMs,,Harsco Rail (OTM),,Yellow with Network Rail logos,,,,,Leeds Holbeck RTS,,
DR80203,OTMs,,Harsco Rail (OTM),,Yellow with Network Rail logos,,,,,Leeds Holbeck RTS,,
DR80204,OTMs,,Harsco Rail (OTM),,Yellow with Network Rail logos,,,,,"Thuxton, Mid-Norfolk Railway",,
DR80205,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80206,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80207,OTMs,,Harsco Rail (OTM),,Yellow & white with Network Rail logos,,,,,,,
DR80208,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80209,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80210,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,Eastleigh Works (ZG),,
DR80211,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80212,OTMs,,Harsco Rail (OTM),,,,,,,,,
DR80213,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80214,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80215,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80216,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80217,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80301,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Stephen Cornish,,,,
DR80302,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR80303,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
928001,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, blue & orange",,,,,,,
MA60,OTMs,,* Miscellaneous On-Track Machines,,Nexus Rail Yellow,,,,,,,
RU411,OTMs,,B&R Track Services (OTM),,Balfour Beatty blue & white,,,,Severn Valley Railway,,,
DRP78211,Cranes,,* Miscellaneous On-Track Machines,,Yellow,Chinnor & Princes Risborough Railway,,,,,,
DRP78212,Cranes,,* Miscellaneous On-Track Machines,,yellow,Chinnor & Princes Risborough Railway,,,,,,
DRP78213,Cranes,,VolkerRail (OTM),,VolkerRail,,,,,,,
DRP78215,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRP78216,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRP78217,Cranes,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with Fastline logos,,,,,Rutherglen OTPD,,
DRP78218,Cranes,,* Miscellaneous On-Track Machines,,,,,,,,,
DRP78219,Cranes,,Balfour Beatty Rail Services (OTM),,White,,,,,,,
DRP78221,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRP78222,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRP78223,Cranes,,* Miscellaneous On-Track Machines,,,,,,,,,
DRP78224,Cranes,,* Miscellaneous On-Track Machines,,,,,,,,,
DRC78226,Cranes,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DRC78229,Cranes,,Network Rail (OTM),,Yellow with Network Rail logos,Beeston,,,,,,
DRC78231,Cranes,,Network Rail (OTM),,Yellow with Network Rail logos,Beeston,,,,,,
DRC78234,Cranes,,Network Rail (OTM),,Yellow with Network Rail logos,Beeston,,,,,,
DRC78235,Cranes,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DRC78237,Cranes,,Colas Rail (OTM),,Maroon with Fastline logos,,,,,Rugby OTPD,,
DX78416,Cranes,,Balfour Beatty Rail Services (OTM),,yellow,,,,,,,
DX78417,Cranes,,Balfour Beatty Rail Services (OTM),,yellow,,,,,,,
DX78490,Cranes,,Balfour Beatty Rail Services (OTM),,GrantPlant orange & blue,,,,,Ashford OTPD,,
DRP81505,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRP81507,Cranes,,* Miscellaneous On-Track Machines,,,,,,,,,
DRP81508,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRP81509,Cranes,,Preserved (OTM),,Yellow,,,,Paignton & Dartmouth Railway,,,
DRP81511,Cranes,,* Miscellaneous On-Track Machines,,,,,,,,,
DRP81513,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,Ashford OTPD,,
DRP81514,Cranes,,Preserved (OTM),,Green,,,,Strathspey Railway,,,
DRP81516,Cranes,,North Yorkshire Moors Railway,,yellow,,,,North Yorkshire Moors Railway,,,
DRP81517,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRP81519,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,Woking,,
DRP81521,Cranes,,Preserved (OTM),,Yellow,,,,East Anglian Railway Museum,,,
DRP81522,Cranes,,Preserved (OTM),,Balfour Beatty blue & white,,,,Swindon & Cricklade Railway,,,
DRP81523,Cranes,,Preserved (OTM),,Maroon,,,,Paignton & Dartmouth Railway,,,
DRP81525,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRP81530,Cranes,,Preserved (OTM),,Yellow & white,,,,Llangollen Railway,,,
DRP81532,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRC81541,Cranes,,* Miscellaneous On-Track Machines,,GrantPlant,Corus Scunthorpe,,,,,,
DRC81545,Cranes,,Preserved (OTM),,Corus yellow & flourescent orange,,,,Lincolnshire Wolds Railway,,,
DRB81547,Cranes,,,,,,,,,,,
DRB81548,Cranes,,,,,,,,,,,
DRB81549,Cranes,,,,,,,,,,,
DRK81601,Cranes,,VolkerRail (OTM),,VolkerRail,,,Nigel Chester,,,,
DRK81602,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DRK81611,Cranes,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,Malcolm L Pearce,,,,
DRK81612,Cranes,,Colas Rail (OTM),,Colas Rail orange,,,,,,,
DRK81613,Cranes,,VolkerRail (OTM),,VolkerRail,,,,,,,
DRK81621,Cranes,,VolkerRail (OTM),,VolkerRail,,,,,,,
DRK81622,Cranes,,VolkerRail (OTM),,VolkerRail,,,,,,,
